source_doc_id,date,sentence,found_term,accompanying_terms
49,2012-06-04 14:30:00,"We discussed the humanitarian dialogue between Russia and the EU and examined the main issues on the international agenda, the situation in Syria, Iran, the Middle East, and a number of other regions.",syria,['iran']
52,2012-06-05 02:00:00,"This makes it easy for us to find a common language, develop common tactics and strategies, and make a constructive contribution to international discussions on the most serious issues we face today, whether the situation in the Middle East and North Africa, the problems in Syria and Afghanistan, or the Korean Peninsula and Iranian nuclear programme issues.",syria,[]
78,2012-06-18 23:15:00,"We also discussed international issues, including Syria.",syria,[]
84,2012-06-20 02:45:00,"Yes, we know that part of Syria’s people, those represented by the armed opposition, want to see President Assad leave.",syria,[]
84,2012-06-20 02:45:00,"Firstly, they do not represent the entire Syrian people.",syria,[]
84,2012-06-20 02:45:00,"I think that our partners not only listened to but to a certain extent agreed with this point of view during the discussions on Syria, although we do still have differences in our assessments.",syria,[]
92,2012-06-25 18:00:00,"Of course, we also spoke in detail about the situation in Syria and the Iranian nuclear programme.",syria,[]
99,2012-06-26 22:30:00,I think that the more of Syria’s neighbours are involved in the settlement process the better.,syria,[]
99,2012-06-26 22:30:00,"It would be better if the people inside Syria itself were able to agree with one another, and if all its neighbouring nations – all who can influence the situation – were to act as the guarantors of these agreements.",syria,['itself']
107,2012-07-09 14:30:00,"We cannot allow a repeat of such scenarios in other countries, in Syria, for example.",syria,[]
107,2012-07-09 14:30:00,"Of course this is a more complex and subtle undertaking than intervention using brute force from outside, but only this process can guarantee a lasting settlement and future stable development in the region, and in Syria’s case, in the country itself.",syria,[]
115,2012-07-17 17:00:00,I deeply regret that we are renewing our relations for so tragic a reason as the events in Syria.,syria,[]
115,2012-07-17 17:00:00,"You have known from the very beginning, from your very first steps as the Special Envoy for the United Nations and the League of Arab States, that we have supported and continue to support your efforts to restore civil peace in Syria.",syria,[]
118,2012-07-18 18:50:00,"We had detailed discussions concerning key issues on the international agenda, including the Syrian problem.",syria,[]
119,2012-07-19 13:50:00,We are responsible for this together and must join forces to put an end to the dramatic events in Syria.,syria,[]
126,2012-07-23 19:00:00,"Of course, we also discussed the world’s hot spots, including Syria.",syria,[]
126,2012-07-23 19:00:00,I also want to say that we exchanged ideas regarding the current crisis in and around Syria and shared our opinions on this matter.,syria,[]
126,2012-07-23 19:00:00,"We called on Russia to work with us to do everything possible to bring an end to the violence currently happening in that nation, to jointly find new approaches to settling the Syrian conflict.",syria,[]
126,2012-07-23 19:00:00,"As for the agreement reached in the UN on extending the UN mission, I think it speaks to the fact that despite certain differences in qualification of the reasons and the causes, compromises can be reached on the UN platform and all parties participating in the process can come to an agreement that is beneficial for everyone – most importantly, for the people of Syria.",syria,[]
126,2012-07-23 19:00:00,"As far as Syria’s current leadership is concerned, as well as the so-called armed opposition, they must find the strength to launch a negotiation process, to carry it out in such a way as to make it possible to achieve mutually acceptable compromises for the future of the country.",syria,[]
138,2012-08-02 17:00:00,We also gave considerable time to the situation in Syria.,syria,[]
139,2012-08-02 23:00:00,"And naturally, we spoke at length about Syria.",syria,[]
169,2012-09-06 12:00:00,"As far as Syria and other hot spots are concerned – issues that are currently in the limelight – we will certainly address them in our deliberations at the forum, in bilateral discussions or otherwise.",syria,[]
169,2012-09-06 12:00:00,"What concerns us, and I want to emphasize this once again, is the current hostilities in Syria.",syria,[]
169,2012-09-06 12:00:00,"We must urge all the warring parties, including the government and the so-called rebels, the armed opposition, to sit down at the negotiating table and decide on a future that would guarantee security for all of the stakeholders within Syria.",syria,[]
169,2012-09-06 12:00:00,"And when we did, together we charted a roadmap for further action that would help bring peace to Syria and channel the developments into a more constructive path.",syria,[]
169,2012-09-06 12:00:00,We received almost unanimous support and shared the results of the talks with the Syrian government.,syria,[]
169,2012-09-06 12:00:00,Today some people want to use militants from Al-Qaeda or some other organisations with equally radical views to accomplish their goals in Syria.,syria,[]
169,2012-09-06 12:00:00,"But in that case, one should unlock Guantanamo, arm all of its inmates and bring them to Syria to do the fighting – it's practically the same kind of people.",syria,[]
169,2012-09-06 12:00:00,"And though we talked mostly about Syria, I could still feel the stance of my counterpart.",syria,[]
207,2012-09-25 22:30:00,"In addition, we spoke about issues regarding the situations in Syria and Afghanistan.",syria,[]
208,2012-09-26 14:00:00,"We consider it essential to bolster joint efforts to prevent terrorist threats and extremism no matter where they occur, be it in Libya, Iraq, Yemen, Syria, Egypt, or Afghanistan.",syria,[]
228,2012-10-10 19:00:00,"Furthermore, we agreed to avoid these types of scenarios when it comes to settling the Syrian crisis, without any kind of foreign meddling, and to support the mission of the new UN Secretary General and League of Arab States’ special envoy, Lakhdar Brahimi.",syria,[]
228,2012-10-10 19:00:00,"We will do everything we can to ensure the success of his mission, which should result in seeking and finding a peaceful solution to the domestic Syrian crisis that will fully satisfy entire Syrian people.",syria,[]
268,2012-11-08 19:00:00,"In addition, we have discussed key international issues, including the situation in the Middle East, in Syria, and Iran's nuclear programme.",syria,[]
268,2012-11-08 19:00:00,There is also the very tense situation in Syria.,syria,[]
268,2012-11-08 19:00:00,"The Syrians are not our enemies, but what is happening now in Syria is a danger for the Syrian people and the entire Middle East.",syria,[]
268,2012-11-08 19:00:00,It is hard to see clearly right now who will come to power in Syria.,syria,[]
268,2012-11-08 19:00:00,Several shells launched from Syria landed on Israeli territory today.,syria,[]
268,2012-11-08 19:00:00,"For many years we have had quiet on the border with Syria, and we would like this to continue.",syria,[]
268,2012-11-08 19:00:00,"You can stop the bloodshed in Syria and bring peace and security to the region, not only to Syria itself, but to the Middle East as a whole.",syria,['itself']
282,2012-11-16 20:30:00,Did you discuss Syria?,syria,[]
282,2012-11-16 20:30:00,"However, we have not yet had the opportunity to talk on the Syrian crisis in detail.",syria,[]
282,2012-11-16 20:30:00,"We will have a meeting with business people now, which is not the best venue for such a discussion, but we will have a chance to talk about Syria.",syria,[]
282,2012-11-16 20:30:00,Who wants chaos in Syria?,syria,[]
297,2012-12-03 19:30:00,"Of course, as was mentioned too, we also discussed the international agenda, including the settlement of the Israeli-Palestinian conflict, Syria, and the situation in North Africa and the Middle East in general.",syria,[]
297,2012-12-03 19:30:00,And I must say that our positions fully coincide not only in our judgments of what we see happening in Syria right now but also in terms of what we would like the situation there to be.,syria,[]
297,2012-12-03 19:30:00,"Turkey and Syria are neighbours, and it’s something that we can’t ignore either since this is happening all too close to our state borders.",syria,[]
297,2012-12-03 19:30:00,Question (retranslated): We see thousands of people in Syria killed and many refugees fleeing the country.,syria,[]
297,2012-12-03 19:30:00,Russia opposed sanctions against Syria.,syria,[]
297,2012-12-03 19:30:00,Do you think there’s any guarantee that Syria will not use nuclear weapons against Turkey?,syria,[]
297,2012-12-03 19:30:00,Are you serious – Syria has nuclear weapons?,syria,[]
297,2012-12-03 19:30:00,Are there any guarantees that Syria won't use nuclear weapons?,syria,[]
297,2012-12-03 19:30:00,Syria is a non-nuclear weapon state and it's far away from producing weapons of mass destruction.,syria,[]
297,2012-12-03 19:30:00,"You know, we are not the absolute supporters of the Syrian regime, and I’ve already said that.",syria,[]
297,2012-12-03 19:30:00,We are not advocates of the incumbent Syrian leadership.,syria,[]
297,2012-12-03 19:30:00,Do you have any guarantee that Syria won’t attack Turkey?,syria,[]
297,2012-12-03 19:30:00,Do we guarantee that Syria won’t attack Turkey?,syria,[]
297,2012-12-03 19:30:00,"We are no guarantors of the situation in the region, we assumed no responsibility, but I’m sure – and you too understand it very well – that Syria has other things to take care of before attacking any of its neighbours.",syria,[]
297,2012-12-03 19:30:00,"This tragedy, Syria’s shelling of Turkey, I’m sure it’s a pure accident.",syria,[]
297,2012-12-03 19:30:00,We all understand full well that Syria is far from attacking any of its neighbours.,syria,[]
318,2012-12-20 16:40:00,And what happens there depends above all on the Syrian people themselves.,syria,[]
321,2012-12-21 18:00:00,"We gave serious attention to current international issues, first and foremost to the situation in Syria, North Africa and the Middle East, as well as Iran’s nuclear programme.",syria,[]
321,2012-12-21 18:00:00,Foreign Minister of France Laurent Fabius said last week that he hopes 2013 will be the Year of Free Syria.,syria,['free']
321,2012-12-21 18:00:00,"As far as Syria is concerned, our position is well-known.",syria,[]
321,2012-12-21 18:00:00,"We are not advocates of the incumbent Syrian leadership yet we believe that in order to reach long-term agreements, we need to first agree on what will happen to Syria in the future, how the interests of all its citizens, all religious and ethnic groups will be secured, how the nation will be governed, and only after that we can begin implementing that plan.",syria,[]
321,2012-12-21 18:00:00,We agreed in Geneva that all conflicting parties in Syria must sit down at the negotiation table.,syria,[]
321,2012-12-21 18:00:00,"I want to stress again that we will strive for order in Syria, for a democratic system based on the will of the Syrian people themselves.",syria,[]
321,2012-12-21 18:00:00,And we really would not want any of the changes in Syria to bring chaos that we see in some other nations in the region.,syria,[]
343,2013-01-23 17:40:00,"Lebanon and Russia have common interests in the Middle East, especially in light of the events taking place in the region at the moment, in Syria in particular.",syria,[]
343,2013-01-23 17:40:00,It is our desire to see Russia play an important part at state level in relations with the Arab countries in order to find a peaceful solution to the crisis in Syria and also avoid any potentially negative consequences for Lebanon.,syria,[]
343,2013-01-23 17:40:00,Lebanon’s government has taken a principled decision of non-intervention in Syria’s domestic affairs in order to protect our country from possible negative consequences.,syria,[]
343,2013-01-23 17:40:00,"The National Dialogue Committee stated this decision in the Baabda Declaration, but unfortunately, the continuing crisis and the worsening situation with Syrian refugees, who are fleeing the country in their tens of thousands, create a heavy burden for Lebanon.",syria,[]
343,2013-01-23 17:40:00,"There are now more than 200,000 Syrian refugees in Lebanon alone.",syria,[]
343,2013-01-23 17:40:00,We do not know how many more Syrian refugees will end up on our territory.,syria,[]
343,2013-01-23 17:40:00,We therefore would like to ask Russia to help to organise an international conference to discuss the Syrian refugee problem and look at what can be done to aid the countries taking in the refugees.,syria,[]
343,2013-01-23 17:40:00,"Mr President, you said that Lebanon has taken a decision of non-intervention in Syrian affairs.",syria,[]
343,2013-01-23 17:40:00,"Of course, we would be talking about targeted aid provided for the specific purpose of supporting the refugees from Syria.",syria,[]
347,2013-01-24 12:30:00,"Just look at what is happening in the Middle East and in Africa: the conflict in Syria has been ongoing for almost two years; the turmoil in Libya, accompanied by the uncontrolled proliferation of arms, contributed to the exacerbation of the situation in Mali.",syria,[]
398,2013-02-28 18:00:00,"Despite the nuances differentiating Russian and French positions, we both favour maintaining an integral, democratic Syrian state.",syria,[]
398,2013-02-28 18:00:00,We should not allow the Syrian tragedy to be exploited by radical groups and international terrorists.,syria,[]
398,2013-02-28 18:00:00,"As for Syria and other countries, I must say that we had a very active discussion and even argued on some points.",syria,[]
418,2013-03-14 17:15:00,"Naturally we discussed the situation in the region, in the Arab world in general, and we spoke at length about the events in Syria that are developing in such a tragic way.",syria,[]
428,2013-03-22 00:00:00,"We share approaches to the pressing international issues, including the Syrian crisis, the situation around Iran, and Middle East settlement.",syria,[]
428,2013-03-22 00:00:00,"For the Durban summit, we are working on a joint declaration setting forth our fundamental approaches to pressing international issues, i.e. crisis in Syria, Afghanistan, Iran and the Middle East.",syria,[]
434,2013-03-26 21:00:00,"We agreed to coordinate actions, including in seeking a peaceful resolution to the Syrian crisis.",syria,[]
451,2013-04-05 19:00:00,"Secondly, only recently the opposition has received 3.5 tons of arms and munitions through the airports near Syria.",syria,[]
455,2013-04-08 14:00:00,Syria is an issue that we discussed at some length.,syria,[]
455,2013-04-08 14:00:00,"I said that we noted differences in views on a number of issues, but Syria was in fact one of the issues where this was least the case.",syria,[]
455,2013-04-08 14:00:00,We have not yet reached a decision on Syria.,syria,[]
478,2013-04-19 20:15:00,"Naturally, we also discussed the problems in Syria.",syria,[]
478,2013-04-19 20:15:00,Russia and Egypt agree on the need for a political and legal solution to the Syrian crisis without external intrusion.,syria,[]
478,2013-04-19 20:15:00,We support a soonest ceasefire and the launch of intra-Syrian talks.,syria,[]
478,2013-04-19 20:15:00,"President Putin and I have also touched on regional issues, particularly the Syrian crisis.",syria,[]
500,2013-05-10 18:00:00,"Of course, we also had a thorough discussion of international issues, especially the situation in Syria.",syria,[]
500,2013-05-10 18:00:00,"We both want to see a swift end to the violence and the start of a peace process, and we both want to preserve Syria’s territorial integrity and sovereignty.",syria,[]
503,2013-05-14 14:30:00,"Of course, I hope to talk to you about the situation in the Middle East, including in Syria.",syria,[]
504,2013-05-14 16:40:00,The situation in Syria is a particular concern.,syria,[]
504,2013-05-14 16:40:00,My colleague and I agree that continuing the armed conflict in the country is fraught with disastrous consequences for both Syria and the region.,syria,[]
511,2013-05-16 19:45:00,We agreed on further coordinating positions on peaceful settlement of the conflict in Syria.,syria,[]
511,2013-05-16 19:45:00,We are determined to continue work to end violence and external interference as quickly as possible and will encourage the maintenance of Syria’s territorial integrity and sovereignty.,syria,[]
537,2013-06-04 10:30:00,"Yesterday we began our discussion on Syria and some initiatives in this area, and today we will exchange views on other matters.",syria,[]
538,2013-06-04 15:30:00,"During the exchange of views on topical international issues, we paid close attention to Syria.",syria,[]
538,2013-06-04 15:30:00,"We have also stated our view on the decision to lift the arms embargo on the Syrian opposition, which was adopted last week by the EU Foreign Ministers.",syria,[]
538,2013-06-04 15:30:00,"As for Russia’s supplies, let me remind you that the Russian arms supplies to Syria are carried out on the basis of transparent, internationally recognised contracts.",syria,[]
538,2013-06-04 15:30:00,It is our responsibility (which we have undertaken voluntarily) to convince the Syrian leadership to take part in this conference.,syria,[]
538,2013-06-04 15:30:00,"As you know, the Syrian leadership has already officially announced its agreement to participate in the conference.",syria,[]
538,2013-06-04 15:30:00,Television channels showed how members of the armed Syrian opposition take out the internal organs of their dead enemies and eat them.,syria,[]
544,2013-06-07 17:00:00,"Looking at the difficult situation today in the Golan Heights, we could take over from the outgoing Austrian contingent on the demarcation line between the Israeli forces and the Syrian army.",syria,[]
547,2013-06-11 20:30:00,"It’s obvious that had they done that, what we see now in Syria wouldn’t have happened.",syria,[]
547,2013-06-11 20:30:00,"Secondly, I said that we’re not advocates of the incumbent Syrian government or the country’s incumbent president, Bashar al-Assad.",syria,[]
547,2013-06-11 20:30:00,And now Syria joined the rest.,syria,[]
547,2013-06-11 20:30:00,"We are very concerned that if we try the same thing with Syria, the result will be similar.",syria,[]
547,2013-06-11 20:30:00,"Secondly, we are concerned over the future of all ethnic and religious groups living in Syria.",syria,[]
547,2013-06-11 20:30:00,"So we believe that first of all the Syrian people are to be given an opportunity to decide how their state should be organized, how their lawful rights, interests and security should be ensured.",syria,[]
547,2013-06-11 20:30:00,So these are the people that will make up Syria’s future government?,syria,[]
547,2013-06-11 20:30:00,"On the one hand, some Western countries support some organisations that are at war with Bashar al-Assad’s regime in Syria, but these same Western countries fight these same organisations in Mali.",syria,[]
547,2013-06-11 20:30:00,Some have left Syria and come to Mali.,syria,[]
547,2013-06-11 20:30:00,"The West is fighting them in Mali, but once they cross the border into Syria, they get support from the West.",syria,[]
547,2013-06-11 20:30:00,"I very much hope that the current initiatives, such as the one put forward by the Egyptian president – we have recently met in Sochi, and he proposed the countries of the region take a more active part in resolving the conflict – and by the British Prime Minister, who believes the permanent members of the UN Security Council need to be more involved, and the joint initiative of Russia and the United States, that the Russian Foreign Ministry and the US State Department have been working on together, I hope that this will enable us to resolve the Syrian conflict.",syria,[]
554,2013-06-14 00:05:00,"For example, in Lough Erne we plan to talk about the situation in Syria, the Middle East and North Africa, Afghanistan and so on.",syria,[]
558,2013-06-16 20:30:00,One of them is Syria.,syria,[]
558,2013-06-16 20:30:00,"On the question of supplying arms to Assad’s government and the question of who has the Syrian people’s blood, including the blood of children, on their hands, I am sure none of you would deny that both sides have blood on their hands.",syria,[]
558,2013-06-16 20:30:00,"But, laying emotions aside and taking a purely working approach to the issue, let me note that Russia delivers arms to the legally recognised Syrian government in full accordance with the rules of international law.",syria,[]
558,2013-06-16 20:30:00,"What’s more, I fully agree with the Prime Minister that this is probably one of the most probable, productive and acceptable ways to try to resolve the Syrian crisis.",syria,[]
559,2013-06-17 18:45:00,"Furthermore, we will discuss many international issues, including, of course, Syria.",syria,[]
560,2013-06-17 23:45:00,"Naturally, we discussed problem spots on the planet, including Syria.",syria,[]
560,2013-06-17 23:45:00,"There are still some aspects where our positions do not align, but we are united by a common aspiration to stop violence, stop the growth of victims in Syria and resolve the problem by peaceful means, including with the help of talks in Geneva.",syria,[]
562,2013-06-18 19:40:00,"Naturally, Syria received a great deal of our attention in a discussion on pressing international topics.",syria,[]
562,2013-06-18 19:40:00,"We called on our G8 partners to engage in purposeful work to convene a conference in Geneva, the so-called Geneva 2, on ending the bloodshed in Syria.",syria,[]
562,2013-06-18 19:40:00,"As far as Syria is concerned, this was another topic that we discussed at length yesterday.",syria,[]
562,2013-06-18 19:40:00,We agreed that rights should absolutely be granted to all of Syria’s ethnic and religious groups within the framework of these efforts.,syria,[]
562,2013-06-18 19:40:00,We do not have any facts about the use of these weapons by the Syrian government.,syria,[]
562,2013-06-18 19:40:00,I assure you that not all the G8 members believe it was used by the Syrian army.,syria,[]
562,2013-06-18 19:40:00,"Moreover, earlier, the government of Syria itself appealed to the United Nations with a request to investigate what they believed was the use of chemical weapons by the opposition.",syria,['itself']
562,2013-06-18 19:40:00,But there was never a case when Russia was alone in defending its approaches to resolving the problem in Syria.,syria,[]
562,2013-06-18 19:40:00,"Overall, I can assure you that this was a general discussion, a very engaged discussion between people who want to find unified, common and effective approaches to resolving the Syrian problem.",syria,[]
571,2013-06-21 17:30:00,"As for foreign policy issues such as Syria, there were other problems discussed as well, but I think Syria is the most pressing issue today, and this was an entirely open and engaged discussion.",syria,[]
571,2013-06-21 17:30:00,"Russia is supplying arms to the incumbent and legitimate government of the Syrian Republic in line with international law, under open and transparent contacts.",syria,[]
571,2013-06-21 17:30:00,"But it is clear that without supplies from abroad, the events happening today in Syria would simply not be possible.",syria,[]
571,2013-06-21 17:30:00,Each has their own opinion regarding the current problems not just in Syria but in other regions of the world as well.,syria,[]
571,2013-06-21 17:30:00,"Basically, I can once again confirm what I said in the United Kingdom: it is hard for me to imagine why anyone would supply arms to those armed opposition groups in Syria, whose composition is not fully clear to us.",syria,[]
571,2013-06-21 17:30:00,"If the United States and the US Secretary of State recognise one of the key Syrian opposition organisations, Jabjat al-Nusra, as a terrorist group and officially recognise its connection to Al-Qaeda, how can they supply arms to that opposition?",syria,[]
571,2013-06-21 17:30:00,We feel that only the Syrian people themselves can guarantee a long-term solution to all the problems that have accumulated there over many decades.,syria,[]
573,2013-06-21 19:00:00,"<…> Let's start with Syria, because the first question doesn’t exist.",syria,[]
573,2013-06-21 19:00:00,As for Syria and weapons supplies.,syria,[]
573,2013-06-21 19:00:00,"I can accept your thesis that Assad is using these weapons in the fight against his own people but with a big proviso because it is not the Syrian people that are fighting with Assad but the rebels, who are well-trained and well-armed, including by other countries and including through terrorist organisations.",syria,[]
573,2013-06-21 19:00:00,"Whether Assad should stay or leave, what the political leadership in Syria should be like, what structure should be adopted – that is not for you or for us to impose on the Syrian people from abroad.",syria,[]
573,2013-06-21 19:00:00,"We can encourage for the negotiation process, and only the warring parties in Syria can agree on the future structure, and only in that case will that structure be robust and long-term.",syria,[]
573,2013-06-21 19:00:00,"Regarding the question on Syria and the conference on Syria, I think we should take the results of the G8’s work and make a real effort now to build the framework conditions for reaching the needed decisions.",syria,[]
573,2013-06-21 19:00:00,We estimate that roughly 600 people from Russia and European countries are fighting on the side of the Syrian armed opposition.,syria,[]
600,2013-07-07 14:30:00,Syria has already devolved into civil war.,syria,[]
663,2013-08-31 14:00:00,"With regards to this case specifically: as you know, the Syrian government already asked the international community to conduct inspections, as they believed that rebels had used chemical weapons.",syria,[]
663,2013-08-31 14:00:00,Syrian government troops are on the offensive.,syria,[]
663,2013-08-31 14:00:00,"Therefore I am convinced that [the chemical attack] is nothing more than a provocation by those who want to drag other countries into the Syrian conflict, and who want the support of powerful members of the international community, especially the United States.",syria,[]
663,2013-08-31 14:00:00,"But I have not had such discussions with Mr Obama in recent days, especially after new charges that the Syrian Government has used chemical weapons.",syria,[]
663,2013-08-31 14:00:00,"I hope that the President of the United States will be among the [G20] participants, and we will certainly have the opportunity to talk in an expanded format, including about the Syrian problem.",syria,[]
663,2013-08-31 14:00:00,The Syrian government’s army is on the offensive.,syria,[]
668,2013-09-04 09:00:00,But we have no evidence that these chemical substances – it is not clear yet whether it was a chemical weapon or just some harmful chemical substance – have been used by the Syrian Army.,syria,[]
668,2013-09-04 09:00:00,No restrictions have been imposed by the UN on the supplies of weapons to Syria.,syria,[]
668,2013-09-04 09:00:00,"However, bearing in mind that the situation around Syria remains acute and disputed and that we have not yet been able to reach an overall agreement on this pressing issue, the leaders of 20 major economies of the world could definitely use the opportunity to spend some time discussing this issue at their meeting in St Petersburg.",syria,[]
668,2013-09-04 09:00:00,"We will not insist on it though, but we may propose to go beyond the scope of discussions planned and spend some time to consider the Syrian issue.",syria,[]
669,2013-09-04 18:10:00,<…> Regarding Syria.,syria,[]
669,2013-09-04 18:10:00,"As you know, Syria is not attacking the US, so there is no question of self-defence, and anything else lacking UN authorisation is an act of aggression.",syria,[]
669,2013-09-04 18:10:00,"Just now, as we started discussing Syria… our opponents’ positions are very weak, if we are to be honest.",syria,[]
669,2013-09-04 18:10:00,"There is no explanation or justification for the aggression, other than that the Syrian army used chemical weapons.",syria,[]
669,2013-09-04 18:10:00,But they came to the verdict that they [the Syrian army] used chemical weapons even before the UN inspectors completed their work.,syria,[]
669,2013-09-04 18:10:00,"And finally, regarding our human rights advocates’ possible trip to Syria.",syria,[]
669,2013-09-04 18:10:00,But the regular Syrian army is fighting against a wide variety of people.,syria,[]
677,2013-09-06 17:00:00,We indeed spent much of Thursday night discussing Syria and related issues.,syria,[]
677,2013-09-06 17:00:00,"I cited the countries whose governments support the exacerbation of conflict in Syria, who support external strikes.",syria,[]
677,2013-09-06 17:00:00,"Second, I would like to remind you that using force against a sovereign state is only possible in self-defense; but Syria is not attacking the United States.",syria,[]
677,2013-09-06 17:00:00,We only talked about Syria but did not say a word about this issue.,syria,[]
677,2013-09-06 17:00:00,"South Africa’s President said a very remarkable thing, which, in my opinion, is important in every respect, not just with regard to Syria.",syria,[]
677,2013-09-06 17:00:00,Will we be helping Syria?,syria,[]
677,2013-09-06 17:00:00,"We have a different take on the situation in Syria, and everyone is aware of it.",syria,[]
683,2013-09-10 21:00:00,"It is a well-known fact that Syria has a chemical weapons arsenal, and Syrians have always regarded it as a counterbalance to Israel’s nuclear stockpile.",syria,[]
683,2013-09-10 21:00:00,"Given the current situation in Syria, this issue is particularly pressing, and we did discuss this matter on the margins of the G20 summit in St Petersburg.",syria,[]
683,2013-09-10 21:00:00,"In fact, the matter of bringing Syria’s chemical weapons under international control has long been a subject of discussion by experts and politicians.",syria,[]
683,2013-09-10 21:00:00,"On September 9, we heard US Secretary of State John Kerry saying in a public statement in London that the US thinks this is extremely important for the resolution of the Syrian crisis.",syria,[]
683,2013-09-10 21:00:00,"With the foreign minister of Syria currently on a visit to Moscow, our Foreign Minister Sergei Lavrov     Lavrov SergeiForeign Minister of Russia  talked to him, and he then talked to his country’s leadership, and we hear that Syria responded positively to this proposal.",syria,[]
683,2013-09-10 21:00:00,"Not only do we think this is a viable option, but we really hope that our friends in Syria take this responsible decision and agree not only to bring their chemical weapons under international control but also to have them destroyed, and we hope Syria joins the international convention banning chemical weapons.",syria,[]
683,2013-09-10 21:00:00,I think this will be a big step forward in resolving the Syrian crisis.,syria,[]
683,2013-09-10 21:00:00,"Of course, all of this will only mean anything if the United States and other nations supporting it tell us that they're giving up their plan to use force against Syria.",syria,[]
683,2013-09-10 21:00:00,"You can’t really ask Syria, or any other country, to disarm unilaterally while military action against it is being contemplated.",syria,[]
683,2013-09-10 21:00:00,"We will work together with Syrians and our US partners, and, like I said, I hope this will be a big step forwards towards a peaceful resolution to the Syrian crisis.",syria,[]
685,2013-09-12 08:00:00,Recent events surrounding Syria have prompted me to speak directly to the American people and their political leaders.,syria,[]
685,2013-09-12 08:00:00,"The planned strike by the United States against Syria, despite strong opposition from many countries and major political and religious leaders, including the Pope, will result in more innocent victims and escalation, spreading the conflict far beyond Syria’s borders.",syria,[]
685,2013-09-12 08:00:00,"Syria is not witnessing a battle for democracy, but an armed conflict between government and opposition in a multi-religious country.",syria,[]
685,2013-09-12 08:00:00,There are few champions of democracy in Syria.,syria,[]
685,2013-09-12 08:00:00,"Might they not return to our countries with experience acquired in Syria, as happened in Mali following the events in Libya?",syria,[]
685,2013-09-12 08:00:00,"From the outset, Russia has advocated peaceful dialogue enabling Syrians to develop a compromise plan for their own future.",syria,[]
685,2013-09-12 08:00:00,"We are not protecting the Syrian government, but international law.",syria,[]
685,2013-09-12 08:00:00,No one doubts that poison gas was used in Syria.,syria,[]
685,2013-09-12 08:00:00,"But there is every reason to believe it was used not by the Syrian army, but by opposition forces, to provoke intervention by their powerful foreign patrons, who would be siding with the fundamentalists.",syria,[]
685,2013-09-12 08:00:00,"In the United States, many draw an analogy between Iraq and Syria, and ask why their government would want to repeat recent mistakes.",syria,[]
685,2013-09-12 08:00:00,"The United States, Russia and all members of the international community must take advantage of the Syrian government’s willingness to place its chemical arsenal under international control for subsequent destruction.",syria,[]
685,2013-09-12 08:00:00,I welcome the President’s interest in continuing the dialogue with Russia on Syria.,syria,[]
