,date,llm_nato,llm_nato_topic,regex_nato
105,2000-07-14 00:00:00,YES,YES,NO
106,2000-07-14 00:00:00,YES,NO,NO
107,2000-07-16 00:00:00,NO,YES,NO
108,2000-07-17 00:00:00,NO,YES,NO
109,2000-07-18 00:00:00,NO,NO,NO
110,2000-07-18 00:02:00,NO,NO,NO
111,2000-07-19 00:00:00,NO,NO,NO
112,2000-07-21 00:00:00,NO,NO,NO
113,2000-07-22 00:00:00,NO,NO,NO
114,2000-07-23 00:00:00,YES,YES,NO
115,2000-07-27 00:00:00,NO,NO,NO
116,2000-07-27 00:02:00,NO,NO,NO
117,2000-07-28 00:00:00,NO,NO,NO
118,2000-07-30 00:00:00,NO,NO,NO
119,2000-08-02 00:00:00,NO,NO,NO
120,2000-08-09 00:00:00,YES,NO,NO
121,2000-08-11 00:00:00,NO,NO,NO
122,2000-08-20 00:00:00,NO,NO,NO
123,2000-08-23 00:00:00,NO,NO,NO
124,2000-09-01 00:00:00,YES,YES,NO
125,2000-09-01 00:00:00,YES,NO,NO
126,2000-09-03 00:00:00,YES,YES,NO
127,2000-09-03 00:02:00,YES,YES,NO
128,2000-09-03 00:03:00,NO,NO,NO
129,2000-09-05 00:01:00,YES,NO,NO
130,2000-09-05 00:02:00,YES,YES,NO
131,2000-09-06 00:00:00,YES,YES,NO
132,2000-09-07 00:00:00,NO,NO,NO
133,2000-09-08 00:01:00,NO,YES,NO
134,2000-09-08 00:02:00,YES,YES,NO
135,2000-09-18 00:00:00,NO,NO,NO
136,2000-09-25 00:00:00,NO,NO,NO
137,2000-09-26 00:00:00,NO,NO,NO
138,2000-09-27 00:00:00,NO,NO,NO
139,2000-09-28 00:02:00,NO,NO,NO
140,2000-09-29 00:00:00,YES,YES,NO
141,2000-09-29 00:00:00,NO,NO,NO
142,2000-09-30 00:00:00,NO,YES,NO
143,2000-10-01 00:00:00,YES,YES,NO
144,2000-10-03 00:01:00,YES,YES,NO
145,2000-10-03 00:02:00,NO,NO,NO
146,2000-10-05 00:00:00,YES,YES,NO
147,2000-10-05 00:02:00,NO,NO,NO
148,2000-10-05 00:03:00,NO,NO,NO
149,2000-10-09 00:00:00,NO,NO,NO
150,2000-10-10 00:00:00,NO,NO,NO
151,2000-10-10 00:02:00,NO,YES,NO
152,2000-10-11 00:00:00,NO,NO,NO
153,2000-10-19 00:00:00,NO,NO,NO
154,2000-10-26 00:00:00,YES,YES,YES
155,2000-10-27 00:00:00,NO,NO,NO
156,2000-10-30 00:01:00,NO,NO,NO
157,2000-10-30 00:02:00,NO,NO,NO
158,2000-10-31 00:00:00,NO,NO,NO
159,2000-11-08 00:01:00,NO,NO,NO
160,2000-11-08 00:02:00,YES,NO,NO
161,2000-11-08 00:03:00,NO,NO,NO
162,2000-11-09 00:01:00,NO,NO,NO
163,2000-11-09 00:02:00,YES,YES,NO
164,2000-11-09 00:03:00,YES,YES,NO
165,2000-11-09 00:04:00,NO,NO,NO
166,2000-11-14 00:00:00,NO,NO,NO
167,2000-11-15 00:00:00,YES,YES,NO
168,2000-11-15 00:02:00,NO,NO,NO
169,2000-11-17 00:01:00,NO,NO,NO
170,2000-11-17 00:02:00,NO,NO,NO
171,2000-11-17 00:03:00,NO,NO,NO
172,2000-11-18 00:00:00,NO,NO,NO
173,2000-11-20 00:00:00,NO,YES,NO
174,2000-11-21 00:01:00,NO,NO,NO
175,2000-11-22 00:00:00,YES,NO,NO
176,2000-11-27 00:01:00,NO,NO,NO
177,2000-11-27 00:02:00,NO,NO,NO
178,2000-11-29 00:00:00,NO,NO,NO
179,2000-11-30 00:00:00,NO,NO,NO
180,2000-12-01 00:00:00,NO,NO,NO
181,2000-12-04 00:00:00,NO,YES,NO
182,2000-12-09 00:00:00,NO,YES,NO
183,2000-12-12 00:01:00,YES,NO,NO
184,2000-12-12 00:02:00,NO,NO,NO
185,2000-12-14 00:01:00,YES,YES,YES
186,2000-12-14 00:02:00,NO,NO,NO
187,2000-12-18 00:00:00,NO,YES,NO
188,2000-12-19 00:00:00,NO,NO,NO
189,2000-12-20 00:00:00,NO,NO,NO
190,2000-12-22 00:00:00,NO,NO,NO
191,2000-12-22 00:01:00,NO,NO,NO
192,2000-12-22 00:02:00,NO,NO,NO
193,2000-12-25 00:00:00,YES,YES,NO
194,2000-12-29 00:00:00,NO,YES,NO
195,2000-12-31 00:00:00,NO,NO,NO
196,2001-01-07 00:01:00,YES,NO,NO
197,2001-01-09 00:00:00,NO,NO,NO
198,2001-01-09 00:05:00,NO,YES,NO
199,2001-01-10 00:03:00,YES,YES,NO
200,2001-01-11 11:42:00,NO,NO,NO
201,2001-01-13 00:00:00,YES,NO,NO
202,2001-01-18 00:00:00,NO,NO,NO
203,2001-01-22 00:00:00,NO,NO,NO
204,2001-01-23 00:00:00,NO,NO,NO
205,2001-01-24 00:00:00,NO,NO,NO
206,2001-01-25 00:00:00,YES,NO,NO
207,2001-01-26 00:00:00,YES,YES,YES
208,2001-01-30 00:00:00,NO,NO,NO
209,2001-01-31 00:00:00,NO,NO,NO
210,2001-02-05 00:01:00,NO,NO,NO
211,2001-02-07 00:00:00,NO,NO,NO
212,2001-02-08 00:00:00,NO,NO,NO
213,2001-02-09 00:00:00,YES,YES,YES
214,2001-02-11 00:00:00,NO,NO,NO
215,2001-02-12 00:00:00,NO,NO,NO
216,2001-02-13 00:00:00,YES,YES,NO
217,2001-02-16 00:01:00,YES,NO,NO
218,2001-02-20 00:00:00,YES,YES,NO
219,2001-02-21 00:00:00,NO,NO,NO
220,2001-02-22 00:00:00,YES,YES,YES
221,2001-02-27 00:00:00,NO,NO,NO
222,2001-02-27 00:01:00,NO,NO,NO
223,2001-03-01 00:01:00,YES,NO,NO
224,2001-03-01 00:33:00,NO,NO,NO
225,2001-03-02 00:00:00,NO,NO,NO
226,2001-03-06 00:00:00,NO,NO,NO
227,2001-03-06 00:59:00,YES,YES,NO
228,2001-03-12 00:00:00,NO,NO,NO
229,2001-03-16 00:00:00,NO,NO,NO
230,2001-03-19 00:00:00,NO,NO,NO
231,2001-03-21 00:00:00,NO,NO,NO
232,2001-03-22 00:00:00,YES,YES,NO
233,2001-03-23 00:01:00,YES,YES,NO
234,2001-03-23 00:05:00,NO,YES,NO
235,2001-03-25 00:00:00,NO,NO,NO
236,2001-03-25 00:01:00,YES,YES,NO
237,2001-03-28 00:00:00,NO,NO,NO
238,2001-03-30 00:00:00,YES,YES,YES
239,2001-04-03 00:00:00,YES,YES,YES
240,2001-04-04 00:00:00,NO,NO,NO
241,2001-04-09 00:02:00,YES,YES,YES
242,2001-04-10 00:00:00,YES,YES,NO
243,2001-04-12 00:00:00,NO,NO,NO
244,2001-04-14 00:02:00,NO,NO,NO
245,2001-04-14 00:04:00,NO,NO,NO
246,2001-04-14 00:05:00,NO,NO,NO
247,2001-04-16 00:00:00,NO,NO,NO
248,2001-04-25 00:00:00,NO,NO,NO
249,2001-04-28 00:00:00,YES,NO,NO
250,2001-05-04 00:00:00,YES,YES,NO
251,2001-05-04 00:00:00,NO,NO,NO
252,2001-05-08 00:01:00,YES,YES,NO
253,2001-05-08 00:02:00,NO,NO,NO
254,2001-05-09 00:01:00,NO,NO,NO
255,2001-05-09 00:02:00,NO,NO,NO
256,2001-05-11 00:00:00,YES,NO,NO
257,2001-05-12 00:00:00,NO,NO,NO
258,2001-05-14 00:00:00,YES,NO,NO
259,2001-05-15 00:00:00,NO,NO,NO
260,2001-05-17 00:00:00,NO,YES,NO
261,2001-05-17 00:01:00,YES,YES,NO
262,2001-05-22 00:01:00,NO,NO,NO
263,2001-05-22 00:02:00,YES,YES,NO
264,2001-05-22 00:03:00,YES,YES,NO
265,2001-05-25 00:00:00,YES,NO,NO
266,2001-05-28 00:00:00,NO,NO,NO
267,2001-05-29 00:00:00,YES,NO,NO
268,2001-05-30 00:00:00,NO,NO,NO
269,2001-05-31 00:00:00,NO,NO,NO
270,2001-06-01 00:01:00,NO,NO,NO
271,2001-06-01 00:02:00,NO,YES,NO
272,2001-06-06 00:01:00,NO,NO,NO
273,2001-06-09 00:00:00,YES,YES,NO
274,2001-06-12 00:02:00,NO,NO,NO
275,2001-06-12 00:02:00,NO,NO,NO
276,2001-06-13 00:01:00,YES,NO,NO
277,2001-06-15 00:01:00,NO,YES,NO
278,2001-06-15 00:02:00,NO,NO,NO
279,2001-06-15 00:03:00,NO,NO,NO
280,2001-06-16 00:00:00,YES,YES,YES
281,2001-06-17 00:02:00,YES,YES,YES
282,2001-06-17 00:02:00,YES,YES,NO
283,2001-06-18 00:00:00,YES,YES,NO
284,2001-06-22 00:00:00,YES,YES,NO
285,2001-06-23 00:00:00,YES,YES,YES
286,2001-07-02 00:01:00,NO,NO,NO
287,2001-07-02 20:00:00,NO,YES,NO
288,2001-07-02 23:03:00,NO,NO,NO
289,2001-07-09 00:00:00,YES,NO,NO
290,2001-07-12 00:01:00,NO,NO,NO
291,2001-07-12 00:02:00,NO,NO,NO
292,2001-07-16 00:01:00,NO,YES,NO
293,2001-07-16 00:02:00,YES,YES,YES
294,2001-07-16 00:03:00,NO,NO,NO
295,2001-07-16 00:04:00,NO,NO,NO
296,2001-07-17 00:00:00,NO,NO,NO
297,2001-07-18 00:01:00,YES,YES,YES
298,2001-07-21 00:00:00,NO,YES,NO
299,2001-07-22 00:01:00,YES,YES,NO
300,2001-07-23 00:00:00,NO,NO,NO
301,2001-07-25 00:00:00,NO,NO,NO
302,2001-07-26 00:01:00,NO,NO,NO
303,2001-07-26 00:01:00,NO,YES,NO
304,2001-07-29 00:00:00,NO,NO,NO
305,2001-08-02 00:01:00,YES,YES,NO
306,2001-08-02 00:02:00,NO,NO,NO
307,2001-08-13 00:00:00,YES,YES,NO
308,2001-08-23 00:00:00,NO,NO,NO
309,2001-08-23 00:02:00,NO,NO,NO
310,2001-08-24 00:00:00,NO,NO,NO
311,2001-08-27 00:00:00,NO,NO,NO
312,2001-08-28 00:00:00,NO,NO,NO
313,2001-08-29 00:00:00,NO,NO,NO
314,2001-09-01 00:00:00,YES,YES,YES
315,2001-09-01 00:02:00,YES,YES,YES
316,2001-09-03 00:01:00,YES,YES,YES
317,2001-09-03 00:02:00,YES,YES,NO
318,2001-09-04 00:00:00,NO,NO,NO
319,2001-09-06 00:00:00,NO,NO,NO
320,2001-09-07 00:01:00,NO,NO,NO
321,2001-09-07 00:02:00,NO,NO,NO
322,2001-09-11 00:00:00,NO,NO,NO
323,2001-09-11 00:03:00,NO,NO,NO
324,2001-09-12 00:00:00,NO,NO,NO
325,2001-09-15 00:00:00,YES,YES,YES
326,2001-09-15 00:01:00,NO,YES,NO
327,2001-09-15 00:02:00,YES,YES,NO
328,2001-09-18 00:01:00,YES,YES,NO
329,2001-09-19 00:01:00,YES,YES,YES
330,2001-09-19 00:02:00,YES,YES,YES
331,2001-09-24 00:02:00,NO,NO,NO
332,2001-09-25 00:00:00,NO,NO,NO
333,2001-09-25 00:01:00,YES,YES,YES
334,2001-09-26 00:01:00,YES,YES,NO
335,2001-09-27 00:00:00,NO,NO,NO
336,2001-09-28 00:01:00,NO,NO,NO
337,2001-09-28 00:02:00,NO,NO,NO
338,2001-10-02 00:00:00,YES,YES,YES
339,2001-10-03 00:01:00,NO,YES,YES
340,2001-10-03 00:02:00,YES,YES,YES
341,2001-10-04 00:01:00,NO,NO,NO
342,2001-10-04 00:02:00,NO,YES,NO
343,2001-10-09 00:00:00,NO,NO,NO
344,2001-10-11 00:01:00,NO,NO,NO
345,2001-10-11 00:02:00,NO,NO,NO
346,2001-10-12 00:00:00,NO,YES,NO
347,2001-10-15 00:00:00,NO,NO,NO
348,2001-10-17 00:00:00,YES,YES,NO
349,2001-10-19 00:00:00,NO,NO,NO
350,2001-10-21 00:00:00,YES,YES,YES
351,2001-10-22 00:00:00,NO,NO,NO
352,2001-10-26 00:00:00,NO,NO,NO
353,2001-10-30 00:00:00,NO,NO,NO
354,2001-10-30 00:02:00,NO,NO,NO
355,2001-11-01 00:00:00,NO,NO,NO
356,2001-11-02 00:00:00,NO,NO,NO
357,2001-11-05 00:00:00,NO,NO,NO
358,2001-11-06 00:00:00,YES,YES,NO
359,2001-11-07 00:02:00,YES,YES,NO
360,2001-11-10 00:01:00,YES,YES,YES
361,2001-11-13 14:43:00,YES,YES,YES
362,2001-11-14 00:00:00,YES,YES,YES
363,2001-11-14 00:02:00,YES,YES,YES
364,2001-11-15 00:01:00,NO,NO,NO
365,2001-11-16 23:55:00,YES,YES,YES
366,2001-11-19 00:02:00,NO,NO,NO
367,2001-11-21 00:00:00,NO,YES,NO
368,2001-11-22 00:00:00,YES,YES,YES
369,2001-11-30 00:00:00,YES,YES,NO
370,2001-11-30 00:00:00,YES,YES,NO
371,2001-12-01 00:00:00,NO,NO,NO
372,2001-12-01 00:02:00,NO,NO,NO
373,2001-12-03 00:00:00,NO,NO,NO
374,2001-12-03 00:02:00,NO,NO,NO
375,2001-12-05 00:00:00,NO,NO,NO
376,2001-12-07 00:00:00,YES,YES,YES
377,2001-12-10 00:00:00,NO,NO,NO
378,2001-12-12 00:00:00,NO,NO,NO
379,2001-12-13 00:00:00,YES,YES,NO
380,2001-12-14 00:00:00,NO,NO,NO
381,2001-12-17 00:00:00,YES,YES,YES
382,2001-12-19 00:00:00,NO,NO,NO
383,2001-12-19 00:02:00,NO,NO,NO
384,2001-12-20 00:00:00,YES,YES,NO
385,2001-12-21 00:00:00,YES,YES,YES
386,2001-12-24 00:00:00,YES,YES,YES
387,2001-12-26 00:00:00,NO,NO,NO
388,2001-12-27 00:00:00,NO,NO,NO
389,2001-12-28 00:00:00,NO,NO,NO
390,2001-12-31 00:00:00,NO,NO,NO
391,2002-01-15 00:01:00,YES,YES,YES
392,2002-01-15 00:02:00,NO,YES,NO
393,2002-01-16 00:00:00,NO,YES,YES
394,2002-01-17 00:01:00,NO,NO,NO
395,2002-01-17 00:01:00,NO,YES,NO
396,2002-01-18 00:00:00,YES,YES,NO
397,2002-01-21 00:00:00,NO,NO,NO
398,2002-02-11 00:00:00,YES,YES,YES
399,2002-02-14 00:00:00,YES,NO,NO
400,2002-02-15 00:01:00,YES,NO,NO
401,2002-02-27 00:00:00,NO,NO,NO
402,2002-03-01 00:01:00,NO,NO,NO
403,2002-03-01 00:02:00,NO,YES,NO
404,2002-03-02 00:00:00,YES,YES,NO
405,2002-03-05 00:00:00,NO,NO,NO
406,2002-03-12 00:01:00,NO,NO,NO
407,2002-03-12 00:02:00,NO,NO,NO
408,2002-03-13 00:00:00,NO,NO,NO
409,2002-03-14 00:00:00,NO,NO,NO
410,2002-03-17 00:00:00,NO,NO,NO
411,2002-03-18 00:00:00,NO,NO,NO
412,2002-03-19 00:00:00,NO,NO,NO
413,2002-03-20 00:00:00,NO,NO,NO
414,2002-03-30 00:00:00,YES,YES,NO
415,2002-04-03 00:00:00,YES,YES,YES
416,2002-04-07 00:00:00,YES,YES,NO
417,2002-04-09 00:00:00,YES,YES,YES
418,2002-04-10 00:00:00,NO,NO,NO
419,2002-04-10 00:02:00,YES,YES,YES
420,2002-04-12 00:01:00,NO,NO,NO
421,2002-04-12 00:02:00,YES,YES,YES
422,2002-04-17 00:00:00,NO,NO,NO
423,2002-04-18 00:00:00,YES,YES,YES
424,2002-04-18 10:42:00,NO,NO,NO
425,2002-04-19 00:00:00,YES,YES,YES
426,2002-04-23 00:00:00,YES,YES,NO
427,2002-04-25 00:00:00,NO,NO,NO
428,2002-04-25 00:02:00,NO,NO,NO
429,2002-04-30 00:00:00,NO,NO,NO
430,2002-05-08 16:39:00,YES,YES,NO
431,2002-05-09 16:34:00,NO,NO,NO
432,2002-05-09 16:40:00,NO,YES,NO
433,2002-05-13 00:01:00,NO,NO,NO
434,2002-05-13 00:02:00,NO,NO,NO
435,2002-05-13 00:03:00,NO,NO,NO
436,2002-05-14 00:01:00,YES,YES,YES
437,2002-05-16 00:01:00,NO,NO,NO
438,2002-05-16 00:02:00,NO,NO,NO
439,2002-05-17 00:01:00,YES,YES,YES
440,2002-05-21 00:01:00,NO,NO,NO
441,2002-05-22 00:00:00,YES,YES,YES
442,2002-05-23 00:01:00,NO,NO,NO
443,2002-05-24 00:01:00,NO,NO,NO
444,2002-05-24 00:02:00,YES,YES,YES
445,2002-05-25 00:01:00,NO,NO,NO
446,2002-05-25 00:02:00,NO,NO,NO
447,2002-05-26 00:01:00,YES,YES,NO
448,2002-05-26 00:02:00,NO,NO,NO
449,2002-05-27 00:00:00,YES,NO,NO
450,2002-05-28 00:00:00,YES,YES,YES
451,2002-05-28 00:02:00,YES,YES,YES
452,2002-05-29 00:01:00,YES,YES,YES
453,2002-05-29 00:02:00,NO,YES,YES
454,2002-05-30 00:00:00,NO,NO,NO
455,2002-06-04 00:00:00,NO,NO,NO
456,2002-06-04 00:02:00,YES,YES,YES
457,2002-06-04 00:03:00,NO,YES,NO
458,2002-06-05 00:00:00,YES,YES,YES
459,2002-06-05 00:01:00,NO,NO,NO
460,2002-06-05 00:02:00,NO,NO,NO
461,2002-06-07 00:01:00,YES,NO,NO
462,2002-06-07 00:02:00,NO,NO,NO
463,2002-06-07 00:03:00,YES,YES,YES
464,2002-06-10 00:00:00,NO,YES,NO
465,2002-06-18 00:00:00,NO,YES,NO
466,2002-06-24 00:00:00,YES,YES,YES
467,2002-06-27 00:00:00,NO,NO,NO
468,2002-06-27 00:02:00,YES,NO,NO
469,2002-06-28 00:00:00,YES,YES,NO
470,2002-07-02 00:00:00,NO,NO,NO
471,2002-07-08 00:00:00,NO,NO,NO
472,2002-07-10 00:00:00,NO,NO,NO
473,2002-07-11 00:00:00,NO,NO,NO
474,2002-07-12 00:00:00,YES,YES,YES
475,2002-07-19 00:00:00,NO,NO,NO
476,2002-07-19 00:02:00,YES,YES,YES
477,2002-07-29 00:00:00,NO,NO,NO
478,2002-08-05 00:00:00,NO,NO,NO
479,2002-08-14 00:00:00,YES,YES,NO
480,2002-08-23 00:00:00,NO,NO,NO
481,2002-08-23 00:02:00,NO,NO,NO
482,2002-08-26 00:00:00,NO,NO,NO
483,2002-08-27 00:00:00,NO,NO,NO
484,2002-08-28 00:00:00,NO,NO,NO
485,2002-08-28 00:02:00,YES,YES,NO
486,2002-08-29 00:00:00,NO,NO,NO
487,2002-08-30 00:00:00,NO,NO,NO
488,2002-09-03 00:01:00,NO,NO,NO
489,2002-09-03 23:37:00,YES,YES,YES
490,2002-09-03 23:55:00,NO,NO,NO
491,2002-09-09 00:00:00,NO,NO,NO
492,2002-09-11 00:00:00,YES,NO,NO
493,2002-09-13 00:00:00,NO,NO,NO
494,2002-09-17 00:00:00,YES,YES,NO
495,2002-09-19 00:00:00,NO,NO,NO
496,2002-09-21 00:00:00,NO,NO,NO
497,2002-09-21 00:02:00,YES,YES,YES
498,2002-09-23 00:00:00,YES,NO,NO
499,2002-09-24 00:00:00,NO,NO,NO
500,2002-09-26 00:00:00,NO,YES,NO
501,2002-09-26 00:02:00,NO,NO,NO
502,2002-09-30 00:00:00,NO,NO,NO
503,2002-10-03 00:00:00,NO,NO,NO
504,2002-10-05 00:00:00,NO,YES,NO
505,2002-10-06 01:49:00,NO,NO,NO
506,2002-10-06 02:02:00,NO,NO,NO
507,2002-10-06 03:03:00,NO,NO,NO
508,2002-10-07 00:00:00,NO,NO,NO
509,2002-10-11 00:00:00,NO,NO,NO
510,2002-10-14 00:00:00,NO,NO,NO
511,2002-10-24 01:00:00,NO,NO,NO
512,2002-10-24 02:00:00,NO,NO,NO
513,2002-10-24 03:00:00,NO,NO,NO
514,2002-10-25 00:00:00,NO,NO,NO
515,2002-10-25 22:23:00,NO,NO,NO
516,2002-10-26 00:00:00,NO,NO,NO
517,2002-10-28 00:00:00,NO,NO,NO
518,2002-11-01 00:00:00,NO,NO,NO
519,2002-11-05 00:00:00,NO,YES,NO
520,2002-11-06 00:00:00,NO,NO,NO
521,2002-11-10 00:00:00,NO,NO,NO
522,2002-11-10 00:02:00,YES,YES,NO
523,2002-11-11 00:00:00,NO,NO,NO
524,2002-11-11 00:02:00,YES,YES,YES
525,2002-11-12 00:02:00,NO,NO,NO
526,2002-11-12 00:03:00,NO,NO,NO
527,2002-11-12 00:04:00,YES,YES,YES
528,2002-11-12 23:50:00,NO,NO,NO
529,2002-11-14 00:01:00,NO,NO,NO
530,2002-11-14 00:06:00,NO,NO,NO
531,2002-11-16 00:00:00,NO,NO,NO
532,2002-11-21 00:00:00,NO,NO,NO
533,2002-11-22 00:01:00,YES,YES,YES
534,2002-11-23 00:00:00,NO,NO,NO
535,2002-11-25 00:00:00,NO,NO,NO
536,2002-11-25 00:02:00,YES,YES,NO
537,2002-11-26 00:00:00,NO,NO,NO
538,2002-11-27 00:01:00,NO,NO,NO
539,2002-11-27 00:02:00,NO,NO,NO
540,2002-11-27 00:03:00,NO,NO,NO
541,2002-11-27 00:05:00,NO,YES,YES
542,2002-11-29 00:00:00,NO,NO,NO
543,2002-11-29 00:02:00,NO,NO,NO
544,2002-12-02 00:00:00,NO,NO,NO
545,2002-12-02 00:02:00,NO,NO,NO
546,2002-12-03 00:00:00,YES,YES,YES
547,2002-12-04 01:00:00,NO,NO,NO
548,2002-12-04 02:00:00,YES,YES,NO
549,2002-12-05 00:01:00,NO,YES,NO
550,2002-12-05 00:02:00,YES,YES,NO
551,2002-12-06 00:00:00,YES,YES,NO
552,2002-12-10 00:00:00,YES,YES,NO
553,2002-12-12 00:00:00,NO,NO,NO
554,2002-12-17 00:01:00,NO,NO,NO
555,2002-12-17 00:02:00,NO,NO,NO
556,2002-12-19 00:00:00,YES,YES,YES
557,2002-12-30 00:00:00,NO,NO,NO
558,2002-12-31 00:00:00,NO,NO,NO
559,2003-01-04 00:00:00,NO,NO,NO
560,2003-01-04 00:02:00,NO,NO,NO
561,2003-01-10 00:00:00,YES,YES,NO
562,2003-01-14 00:00:00,NO,NO,NO
563,2003-01-15 00:00:00,NO,NO,NO
564,2003-01-16 00:00:00,NO,NO,NO
565,2003-01-17 00:00:00,NO,YES,NO
566,2003-01-20 00:00:00,NO,NO,NO
567,2003-01-20 00:02:00,NO,YES,NO
568,2003-01-21 00:00:00,NO,NO,NO
569,2003-01-21 00:00:00,NO,NO,NO
570,2003-01-22 00:00:00,YES,YES,NO
571,2003-01-24 00:00:00,NO,NO,NO
572,2003-01-27 00:00:00,NO,NO,NO
573,2003-01-28 00:00:00,NO,NO,NO
574,2003-01-28 00:01:00,NO,NO,NO
575,2003-01-28 00:02:00,YES,YES,YES
576,2003-01-29 00:00:00,NO,YES,NO
577,2003-01-30 00:00:00,NO,NO,NO
578,2003-01-31 00:00:00,NO,NO,NO
579,2003-02-02 16:30:00,NO,NO,NO
580,2003-02-03 00:02:00,YES,YES,NO
